t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,V'O2_filtered
0 days 00:03:04,,-,1.03206151760104,13.9091848733294,0.994662373267662,-,27.2135522166199,0.963762679166341,28.03,32.12238,20.3978237624385,4.14449455896468,307.521496275179,262.063953369792,17.6339900400773,1.0320153835841785
0 days 00:03:05,,-,1.03206151760104,13.9091848733294,0.994662373267662,-,27.2135522166199,0.963762679166341,28.03,32.12238,20.4832464002927,4.14449455896468,307.521496275179,262.063953369792,17.6339900400773,1.1623188516908771
0 days 00:03:06,,-,1.44675849977007,19.4980929888149,1.33974965879213,-,24.9871765092415,0.926035450287703,30.61,40.55825,20.5852875053375,5.75706819470582,427.174460047172,312.314469223529,75.8565390766421,1.2979821007871821
0 days 00:03:07,,-,1.44675849977007,19.4980929888149,1.33974965879213,-,24.9871765092415,0.926035450287703,30.61,40.55825,20.7039470775728,5.75706819470582,427.174460047172,312.314469223529,75.8565390766421,1.4480228864771874
0 days 00:03:08,,-,1.44675849977007,19.4980929888149,1.33974965879213,-,24.9871765092415,0.926035450287703,30.61,40.55825,20.8226066498081,5.75706819470582,427.174460047172,312.314469223529,75.8565390766421,1.6092849673191814
0 days 00:03:09,,-,1.86440045406673,25.1266907556163,1.76003028734054,-,24.8980844746879,0.944019447914992,20.0,49.3,20.9587271014373,7.45138533265411,552.892791682935,436.28867611253,66.3413708491295,1.746363921227574
0 days 00:03:10,,-,1.86440045406673,25.1266907556163,1.76003028734054,-,24.8980844746879,0.944019447914992,20.0,49.3,21.1123084324603,7.45138533265411,552.892791682935,436.28867611253,66.3413708491295,1.8131155291235346
0 days 00:03:11,,-,1.73420990243484,23.3721011109817,1.70389274392098,-,28.8167539176404,0.982518172413097,22.3,53.1855,21.2611834112939,6.99470425766994,519.00705591911,472.254144317388,0.0,1.8047886705008351
0 days 00:03:12,,-,1.73420990243484,23.3721011109817,1.70389274392098,-,28.8167539176404,0.982518172413097,22.3,53.1855,21.4053520379381,6.99470425766994,519.00705591911,472.254144317388,0.0,1.7622338018021673
0 days 00:03:13,,-,1.73420990243484,23.3721011109817,1.70389274392098,-,28.8167539176404,0.982518172413097,22.3,53.1855,21.5495206645823,6.99470425766994,519.00705591911,472.254144317388,0.0,1.7174886277411376
0 days 00:03:14,,-,1.73420657757103,23.3720563014963,1.70388956040997,-,28.8168091658349,0.982518220405136,22.3,53.1855,21.693689153025,6.99469084727536,519.006060867832,472.253238901779,0.0,1.6672167022064508
