t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,t_trial_s,V'O2_filtered
0 days 00:02:54,,-,0.083362953303987,1.08263575719464,0.119504367581841,-,59.5860607515501,1.43354287300814,64.51,14.25671,19.417965543403895,0.3240066823430309,24.9485145404134,22.7011160097005,0.0,1.0,0.08337180336230443
0 days 00:02:55,,-,0.083362953303987,1.08263575719464,0.119504367581841,-,59.5860607515501,1.43354287300814,64.51,14.25671,19.4248956863318,0.3240066823430309,24.9485145404134,22.7011160097005,0.0,2.0,0.4906074203046212
0 days 00:02:56,,-,1.19322057430751,15.4963710949028,1.6110495418864,-,45.2936541354605,1.35016909411018,30.76,58.47476,19.4779582636225,4.6376888565239,357.10204195234,324.933769845469,0.0,3.0,0.8749874222443018
0 days 00:02:57,,-,1.19322057430751,15.4963710949028,1.6110495418864,-,45.2936541354605,1.35016909411018,30.76,58.47476,19.5771532752759,4.6376888565239,357.10204195234,324.933769845469,0.0,4.0,1.1729502955593059
0 days 00:02:58,,-,1.19322057430751,15.4963710949028,1.6110495418864,-,45.2936541354605,1.35016909411018,30.76,58.47476,19.6763482869294,4.6376888565239,357.10204195234,324.933769845469,0.0,5.0,1.3325835360341458
0 days 00:02:59,,-,1.40616498654895,18.2618829421942,1.91453849289436,-,45.4998528707659,1.36153190501,23.9,67.4219,19.7843945637674,5.46533962703153,420.831151281427,382.922068176057,0.0,6.0,1.3701762206472339
0 days 00:03:00,,-,1.40616498654895,18.2618829421942,1.91453849289436,-,45.4998528707659,1.36153190501,23.9,67.4219,19.90129210579,5.46533962703153,420.831151281427,382.922068176057,0.0,7.0,1.3412849798820925
0 days 00:03:01,,-,1.20593103039006,15.6614419531176,1.65408959626537,-,49.0689173002376,1.37162868736395,24.79,62.74349,20.0098667065048,4.68709056967284,360.905973864809,328.395038030317,0.0,8.0,1.28340256585559
0 days 00:03:02,,-,1.20593103039006,15.6614419531176,1.65408959626537,-,49.0689173002376,1.37162868736395,24.79,62.74349,20.1101183659116,4.68709056967284,360.905973864809,328.395038030317,0.0,9.0,1.2062768519131504
0 days 00:03:03,,-,1.20593103039006,15.6614419531176,1.65408959626537,-,49.0689173002376,1.37162868736395,24.79,62.74349,20.2103700253185,4.68709056967284,360.905973864809,328.395038030317,0.0,10.0,1.1254079298491562
0 days 00:03:04,,-,1.06378395496315,13.8153760384825,1.46842821264743,-,51.3378395539832,1.3803819899674,24.79,58.18213,20.3047131875426,4.13460771621768,318.364794148762,289.686029750119,0.0,11.0,1.0882010350316884
0 days 00:03:05,,-,1.06378395496315,13.8153760384825,1.46842821264743,-,51.3378395539832,1.3803819899674,24.79,58.18213,20.393147852584,4.13460771621768,318.364794148762,289.686029750119,0.0,12.0,1.148362595593734
0 days 00:03:06,,-,1.35892765834801,17.6484111473768,1.8508882259269,-,52.0616381345899,1.36202116025583,30.76,75.17744,20.493850485395505,5.28174236486011,406.694162094229,370.058559567293,0.0,13.0,1.306545205687364
